latitude,longitude,raw_model_score,prospectivity_score,prospectivity_class,geological_group,geological_formation,stratigraphic_unit,lithology
22.11375206376239,85.54631537628934,0.0458,58.5,MODERATE,Iron Ore Group,Banded ferruginous unit,BIF,Ferruginous metasediment
21.932859053340337,85.27317676240015,0.0004,18.7,VERY LOW,Granite-Gneiss Complex,Granite-Gneiss,Pegmatitic unit,Felsic crystalline rock
22.057707915347144,85.25309058921495,0.0061,49.6,MODERATE,Iron Ore Group,Shale-Quartzite sequence,BIF,Ferruginous metasediment
22.13050952170651,85.4251369068966,0.0007,45.5,MODERATE,Older Metamorphic Complex,Mica-schist sequence,Quartzite,Quartzite
22.01819205557033,85.33215545385883,0.0006,41.4,MODERATE,Older Metamorphic Complex,Mica-schist sequence,Schist,Schist/Metasediment
21.988431178387156,85.35792708203681,0.0005,34.0,LOW,Older Metamorphic Complex,Metasedimentary sequence,Quartzite,Quartzite
21.9153006566918,85.60246660779671,0.1223,67.7,HIGH,Iron Ore Group,Banded ferruginous unit,Quartzite,Quartzite
21.9072328351254,85.61553896478257,0.2032,73.0,HIGH,Iron Ore Group,Banded ferruginous unit,Ferruginous shale,Ferruginous metasediment
22.055005570098068,85.51138527664462,0.4817,84.0,VERY HIGH,Iron Ore Group,Banded ferruginous unit,Manganiferous horizon,Manganiferous rock
22.129623082750008,85.43690034953329,0.0004,27.1,LOW,Granite-Gneiss Complex,Gneissic terrain,Gneiss,Felsic crystalline rock
22.02745300341664,85.58190648362225,0.9532,100.0,VERY HIGH,Iron Ore Group,Banded ferruginous unit,Manganiferous horizon,Manganiferous rock
21.972031546350497,85.41265146721052,0.6554,88.9,VERY HIGH,Iron Ore Group,BIF-associated sequence,Manganiferous horizon,Manganiferous rock
22.094725054116314,85.43203286044726,0.0847,64.0,HIGH,Iron Ore Group,Banded ferruginous unit,Ferruginous shale,Ferruginous metasediment
22.082210167437545,85.57337673795962,0.0002,1.7,VERY LOW,Older Metamorphic Complex,Metasedimentary sequence,Schist,Schist/Metasediment
22.10591113134254,85.4243751314954,0.0005,34.4,LOW,Granite-Gneiss Complex,Granite-Gneiss,Pegmatitic unit,Felsic crystalline rock
21.907254127664505,85.54682998140864,0.3274,78.9,HIGH,Iron Ore Group,Banded ferruginous unit,Quartzite,Quartzite
21.90345607021603,85.46409396698967,0.0644,61.5,HIGH,Iron Ore Group,BIF-associated sequence,BIF,Ferruginous metasediment
21.881449406284105,85.43159935796459,0.1044,66.0,HIGH,Iron Ore Group,Shale-Quartzite sequence,Quartzite,Quartzite
22.08597815852226,85.53047938775862,0.0005,38.2,LOW,Quaternary/Lateritic Cover,Alluvial/Colluvial cover,Colluvium,Alluvium/Colluvium
21.96605475601012,85.58203538232709,0.1992,72.7,HIGH,Iron Ore Group,Shale-Quartzite sequence,Ferruginous shale,Ferruginous metasediment
21.944090603795612,85.60095278260793,0.4162,82.0,VERY HIGH,Iron Ore Group,Shale-Quartzite sequence,Manganiferous horizon,Manganiferous rock
21.923851716578323,85.61270750627754,0.0004,26.8,LOW,Older Metamorphic Complex,Metasedimentary sequence,Quartzite,Quartzite
21.94956197003476,85.5168418815526,0.0005,34.9,LOW,Older Metamorphic Complex,Mica-schist sequence,Schist,Schist/Metasediment
22.1210680884538,85.59560855267638,0.0006,44.5,MODERATE,Older Metamorphic Complex,Metasedimentary sequence,Quartzite,Quartzite
22.100512066564384,85.38276119405882,0.0335,56.0,MODERATE,Iron Ore Group,Banded ferruginous unit,Quartzite,Quartzite
21.89202627878208,85.43579521302301,0.0004,16.7,VERY LOW,Granite-Gneiss Complex,Granite-Gneiss,Pegmatitic unit,Felsic crystalline rock
22.01063483483831,85.44312785750854,0.0003,6.1,VERY LOW,Granite-Gneiss Complex,Granite-Gneiss,Granite,Felsic crystalline rock
22.180940861984546,85.63126910795366,0.1019,65.7,HIGH,Iron Ore Group,Shale-Quartzite sequence,Ferruginous shale,Ferruginous metasediment
22.044638683478485,85.5881159830783,0.1559,70.0,HIGH,Iron Ore Group,BIF-associated sequence,Quartzite,Quartzite
21.874309511734968,85.34632158531282,0.7224,90.6,VERY HIGH,Iron Ore Group,Shale-Quartzite sequence,Manganiferous horizon,Manganiferous rock
21.99689651089996,85.61299747044215,0.3182,78.5,HIGH,Iron Ore Group,Shale-Quartzite sequence,Ferruginous shale,Ferruginous metasediment
21.89469798834744,85.3602945466849,0.0006,44.3,MODERATE,Quaternary/Lateritic Cover,Alluvial/Colluvial cover,Colluvium,Alluvium/Colluvium
21.899722150992485,85.48303826653006,0.8815,95.8,VERY HIGH,Iron Ore Group,Shale-Quartzite sequence,Manganiferous horizon,Manganiferous rock
21.933061201197734,85.37527140665337,0.0004,26.6,LOW,Older Metamorphic Complex,Mica-schist sequence,Quartzite,Quartzite
22.19392359723583,85.24247520481588,0.0134,51.3,MODERATE,Iron Ore Group,Banded ferruginous unit,Manganiferous horizon,Manganiferous rock
21.97409408561342,85.38428286464553,0.0004,26.4,LOW,Quaternary/Lateritic Cover,Lateritic cover,Colluvium,Alluvium/Colluvium
22.039197708722952,85.39019689104562,0.0002,0.5,VERY LOW,Quaternary/Lateritic Cover,Alluvial/Colluvial cover,Alluvium,Alluvium/Colluvium
