sample_id,latitude,longitude,spatial_block_id,regional_zone_id,label_status,manganese_associated,data_quality_flag,feature_distribution_distance,distance_to_nearest_known_manganese_occurrence_km,geological_group,geological_formation,stratigraphic_unit,lithology,host_rock,ore_host_compatibility_score,formation_contact_distance_km,geological_age_ma,metamorphic_grade,weathering_class,alteration_intensity,geological_complexity_score,distance_to_fault_km,distance_to_lineament_km,lineament_density_per_sq_km,lineament_intersection_density,shear_zone_proximity_km,structural_complexity_score,fold_position,fold_hinge_proximity_km,structural_orientation,distance_to_major_geological_contact_km,drainage_anomaly_score,elevation_m,slope_deg,aspect_deg,aspect_sin,aspect_cos,curvature,terrain_ruggedness,local_relief_m,drainage_density,topographic_position_index,valley_or_ridge_class,B2,B3,B4,B5,B6,B7,B8,B8A,B11,B12,NDVI,NDMI,MNDWI,BSI,B4_B2_ratio,B11_B12_ratio,B12_B8_ratio,B11_B8_ratio,gossan_alteration_index,red_edge_ratio_1,red_edge_ratio_2,VV,VH,VV_VH_ratio,radar_backscatter_mean,radar_texture,radar_roughness_proxy,aster_vnir_swir_proxy,aster_thermal_lithology_proxy,multisensor_spectral_anomaly_score
SAU-000001,21.54186,79.75492,BLK_011_008,ZONE_09,POSITIVE,associated,ok,2.68301,1.02959,Tirodi Gneissic Complex,Tirodi Gneiss,Tirodi Gneiss (undifferentiated),"Biotite gneiss (potassic, migmatitic)","Biotite gneiss (potassic, migmatitic)",0.1477,0.00979,2596.26817,high (upper amphibolite),highly weathered / lateritic,0.553,0.6209,1.53136,1.12494,1.68889,1.08708,10.01968,0.4728,not_applicable,2.56358,ENE-WSW,1.08294,0.5868,420.96138,9.04158,347.46961,-0.21696,0.97618,-0.0239,6.38169,39.23112,0.76775,-0.7559,slope,0.08098,0.08328,0.14606,0.14267,0.13452,0.16043,0.14508,0.16536,0.40246,,-0.00337,-0.47007,-0.6571,0.4163,1.80366,,,2.77406,2.42644,0.94288,1.12448,-13.0082,-21.79735,8.78915,-17.40277,0.05,0.25552,0.41488,0.7901,0.4339
SAU-000002,21.93102,80.46576,BLK_019_022,ZONE_06,UNLABELLED,not_documented,ok,2.73263,4.33234,Sausar Group,Lohangi Formation,Lohangi Formation (undifferentiated),"Marble, calc-silicate rock, granulite/gneiss","Marble, calc-silicate rock, granulite/gneiss",0.4003,0.72278,2072.86006,medium (lower amphibolite),moderately weathered,0.564,0.4479,3.5264,3.20866,2.50452,1.19431,9.8785,0.4107,limb,,NNE-SSW,2.22302,0.1633,388.59468,10.44921,73.54127,0.95902,0.28332,-0.0527,9.67256,49.87972,2.10709,3.88053,ridge,0.0601,0.08797,0.11529,0.1096,0.11822,0.16087,0.16908,0.16002,0.20158,0.11008,0.18915,-0.08768,-0.39237,0.16059,1.9183,1.83121,0.65105,1.19222,1.38263,1.07865,1.46779,-13.67113,-21.63916,7.96803,-17.65515,0.50054,0.53878,,0.3991,0.2901
SAU-000003,21.54193,79.76159,BLK_011_008,ZONE_09,UNLABELLED,not_documented,ok,3.1308,1.34084,Sausar Group,Junewani Formation,Junewani Formation (undifferentiated),Biotite-muscovite schist/gneiss and biotite granulite,Biotite-muscovite schist/gneiss and biotite granulite,0.3976,0.70626,2016.11205,high (upper amphibolite),moderately weathered,,0.6396,1.78851,1.35364,1.53619,1.19164,10.69398,0.7569,not_applicable,2.78686,NW-SE,5.64102,0.3749,,5.5716,347.94692,-0.20882,0.97795,0.3217,8.35662,34.40577,1.15628,-2.8225,slope,0.07471,0.07445,0.09631,0.12548,0.12004,0.15047,0.15684,0.1595,0.36293,0.27497,0.23911,-0.3965,-0.65956,0.32961,1.28912,1.31989,1.75319,2.31401,1.98333,0.95665,1.19916,-13.15841,-23.10404,9.94563,-18.13122,0.30983,1.26231,0.95859,0.9474,0.5175
SAU-000004,21.80843,80.03988,BLK_017_013,ZONE_03,UNLABELLED,not_documented,ok,3.41993,3.75769,Sausar Group,Lohangi Formation,Lohangi Formation (undifferentiated),"Marble, calc-silicate rock, granulite/gneiss","Marble, calc-silicate rock, granulite/gneiss",0.2039,0.39719,2066.12292,medium (lower amphibolite),fresh / slightly weathered,0.6666,0.4982,1.24755,1.27,2.51106,0.89828,3.29733,0.6504,not_applicable,30.99198,NW-SE,0.2618,0.2128,354.4174,5.86806,2.64198,0.04609,0.99894,0.4416,8.79257,39.26546,1.90467,-8.56899,valley,0.06175,0.06846,0.09263,0.09799,0.16062,0.18023,0.21422,0.21201,0.10891,0.0432,0.39625,0.32591,-0.22805,-0.15587,1.50008,2.52106,0.20166,0.5084,0.7303,1.63915,1.83927,-10.64776,-20.8414,10.19363,-15.74458,0.74231,0.02,-0.91477,0.3839,0.4202
SAU-000005,21.7868,80.16424,BLK_016_016,ZONE_03,POSITIVE,associated,ok,2.63577,2.42967,Sausar Group,Chorbaoli Formation,Chorbaoli Formation (undifferentiated),Quartz-mica schist and quartzite,Quartz-mica schist and quartzite,0.3644,2.67316,1981.9921,medium (lower amphibolite),moderately weathered,0.2144,0.2976,3.15051,2.33887,2.02254,0.84106,2.97862,0.5718,not_applicable,17.89608,NNE-SSW,1.59132,0.2028,516.46682,8.01625,100.2673,0.98399,-0.17824,-0.4767,7.31493,40.45629,1.40785,-0.81513,slope,0.06044,0.08002,0.07386,0.10078,0.22047,0.25287,0.26435,0.28307,,0.12051,0.56323,,,,1.22204,,0.45587,,,2.18764,2.50913,,-18.17261,,,0.48245,0.75456,,0.8621,0.2883
SAU-000006,21.51956,79.70042,BLK_011_007,ZONE_09,UNLABELLED,not_documented,ok,3.25245,3.43047,Sausar Group,Chorbaoli Formation,Chorbaoli Formation (undifferentiated),Quartz-mica schist and quartzite,Quartz-mica schist and quartzite,0.4386,4.53816,2090.54758,medium (lower amphibolite),highly weathered / lateritic,0.5361,0.3913,3.15615,1.52261,1.43039,1.08836,4.09526,0.6864,limb,2.84731,ENE-WSW,3.32863,0.0,411.23403,4.43594,336.75406,-0.39468,0.91882,0.2643,12.39857,45.26817,1.22037,-8.10422,valley,0.07795,0.0733,0.12364,0.13058,0.10356,0.12762,0.07097,0.12116,0.31124,0.24613,-0.27064,-0.62863,-0.61877,0.48983,1.58614,1.26454,3.46809,4.38552,2.92023,0.79308,0.97733,-11.37208,-23.67178,12.2997,-17.52193,1.00821,0.76195,,0.753,0.4778
SAU-000007,21.5493,79.73475,BLK_011_007,ZONE_09,UNLABELLED,not_documented,ok,3.83253,1.89877,Sausar Group,Bichua Formation,Bichua Formation (undifferentiated),Marble and calc-silicate rock,Marble and calc-silicate rock [ore-adjacent facies],0.5883,1.26546,1864.14005,granulite facies,moderately weathered,0.2348,0.462,0.4236,0.35938,2.19919,1.24278,8.28623,0.6048,not_applicable,1.09327,NW-SE,1.31447,0.912,325.06726,4.57439,345.28489,-0.25401,0.9672,0.4117,8.64963,46.4859,2.04233,-1.74407,slope,0.04224,0.04126,0.0952,0.07502,0.13409,0.1263,0.12578,0.1493,0.34161,0.28572,0.13838,-0.46178,-0.78447,0.44441,2.25379,1.19561,2.27159,2.71593,2.59975,1.78739,1.68355,-11.50239,-21.52802,10.02562,-16.5152,0.47357,0.44272,0.57918,0.2211,0.5461
SAU-000008,21.57451,79.77634,BLK_012_008,ZONE_09,UNLABELLED,not_documented,ok,2.24049,3.54979,Sausar Group,Junewani Formation,Junewani Formation (undifferentiated),Biotite-muscovite schist/gneiss and biotite granulite,Biotite-muscovite schist/gneiss and biotite granulite,0.3092,2.38813,1714.62988,medium (lower amphibolite),highly weathered / lateritic,0.1785,0.5402,2.25662,1.51447,1.63459,1.24594,13.36497,0.438,limb,1.71221,NNE-SSW,1.88708,0.6027,447.3216,6.49642,336.84615,-0.3932,0.91945,0.3107,6.22502,40.29199,1.98971,-0.40342,slope,,0.08089,0.0816,0.10568,0.2017,0.23217,0.25449,0.25341,0.35659,,0.51442,-0.16708,-0.6302,,,,,1.40119,,1.90859,2.19692,-10.84455,-21.48847,10.64392,-16.16651,0.82716,0.71341,0.37335,0.6312,0.4859
SAU-000009,21.83066,80.22871,BLK_017_017,ZONE_03,POSITIVE,associated,ok,2.81951,1.05959,Sausar Group,Chorbaoli Formation,Chorbaoli Formation (undifferentiated),Quartz-mica schist and quartzite,Quartz-mica schist and quartzite,0.3472,0.69318,1739.23622,granulite facies,moderately weathered,0.5647,0.4779,5.12724,3.70437,1.99428,1.15548,2.8375,0.6504,not_applicable,12.67735,E-W,0.79794,0.1858,515.98129,7.85689,138.55214,0.66194,-0.74956,-0.1063,9.67102,44.93963,1.01922,5.94518,ridge,0.03858,0.07773,0.02698,0.08531,0.22621,0.27745,0.34134,0.33353,0.17198,0.12248,0.8535,0.32993,-0.37744,-0.3126,0.69933,1.40415,0.35882,0.50384,0.52369,2.65162,3.25226,-11.16351,-14.97695,3.81345,-13.07023,0.6574,0.52048,-0.39307,0.6172,0.2782
SAU-000010,21.92172,80.40429,BLK_019_021,ZONE_06,UNLABELLED,not_documented,ok,3.90181,8.64792,Sausar Group,Mansar Formation,Mansar Fm - Manganese Horizon II (middle),Phyllite and muscovite schist/gneiss with manganese-oxide/gondite horizon,Phyllite and muscovite schist/gneiss with manganese-oxide/gondite horizon [ore-adjacent facies],0.8821,2.4728,1620.82728,low (greenschist),moderately weathered,0.2035,,5.53449,4.21563,2.44246,1.29695,4.40492,0.4004,limb,2.11578,ENE-WSW,2.66747,0.2425,378.96075,2.72303,56.1985,0.83097,0.55632,0.3312,9.91679,39.36862,1.58395,-0.55105,slope,0.03883,0.05626,0.0395,0.05965,0.12837,0.17984,0.20907,0.22038,0.16331,0.12008,0.68218,0.12289,-0.48754,-0.10004,1.01725,1.36001,0.57435,0.78113,0.81811,2.15205,3.01492,-10.12992,-22.04225,11.91233,-16.08609,0.16336,0.64454,-0.92087,0.1981,0.2151
