date,mine_id,month,quarter,day_of_week,planned_production_tpd,actual_production_tpd,total_trucks,available_trucks,active_trucks,total_shovels,available_shovels,active_shovels,truck_availability_pct,shovel_availability_pct,truck_utilization_pct,shovel_utilization_pct,truck_downtime_hours,shovel_downtime_hours,truck_breakdown_events,shovel_breakdown_events,maintenance_delay_hours,haul_distance_km,average_loaded_travel_time_min,average_empty_travel_time_min,average_loading_time_min,average_dumping_time_min,average_cycle_time_min,truck_cycles,queue_delay_min,haulage_delay_hours,operating_hours,effective_operating_hours,overall_utilization_pct,loading_efficiency_pct,haulage_efficiency_pct,blasting_delay_hours,shift_delay_hours,fragmentation_index,weather_disruption_hours,rainfall_mm,temperature_c,soil_moisture_index,ground_condition_index,ore_feed_tonnes,ore_grade_pct,waste_to_ore_ratio
2021-01-01,MINE_01,1,1,Friday,2862.0,1913.0,18,16,14,4,4,3,88.9,100.0,92.3,87.2,11.1,0.1,1,0,1.6,3.89,8.6,7.5,4.5,2.5,24.3,40,1.3,0.1,21.4,20.1,93.9,82.7,77.5,0.0,0.5,73.1,0.0,0.5,21.7,7.2,5.4,10058.693535761113,0.665543827545519,1.1840193925280917
2021-01-04,MINE_01,1,1,Monday,2432.0,2623.0,18,18,16,4,4,3,100.0,100.0,84.9,89.7,0.0,0.6,0,0,0.2,3.86,8.9,7.1,4.2,2.1,26.0,42,3.6,0.2,21.8,21.6,99.0,80.4,86.7,0.0,0.0,72.5,0.0,0.3,21.5,8.2,12.2,7331.345137841789,0.6798366955062884,1.5289998195328731
2021-01-05,MINE_01,1,1,Tuesday,2525.0,1758.0,18,18,15,4,3,2,100.0,75.0,84.2,81.5,0.4,3.8,0,0,0.5,4.07,7.5,7.1,4.6,1.4,24.3,41,3.8,0.3,22.5,20.9,93.3,84.4,81.4,0.0,0.8,75.2,0.0,1.3,18.9,13.4,3.9,12531.636273789645,0.6503543198522966,1.582495889631334
2021-01-06,MINE_01,1,1,Wednesday,2924.0,2211.0,18,18,17,4,4,3,100.0,100.0,81.9,82.6,0.7,0.3,0,0,0.4,4.75,13.2,8.0,4.6,1.5,29.5,39,2.2,0.1,23.3,21.9,94.0,81.2,80.3,1.2,0.0,66.5,0.0,0.3,22.4,6.8,14.3,9819.418608437736,0.7293554869568916,1.5872180662598916
2021-01-08,MINE_01,1,1,Friday,2626.0,3087.0,18,18,17,4,4,3,100.0,100.0,91.9,94.2,0.6,0.1,0,0,0.2,4.27,9.9,6.2,4.1,1.3,22.3,54,0.8,0.1,22.2,22.1,99.4,87.2,94.5,0.0,0.0,73.4,0.0,1.5,19.6,0.0,12.6,10557.966995288847,0.6927755683601485,1.3036795379521773
2021-01-10,MINE_01,1,1,Sunday,2769.0,2747.0,18,18,17,4,4,3,100.0,100.0,93.3,88.7,0.6,0.0,0,0,0.3,3.9,8.8,7.1,4.7,1.9,25.3,47,2.7,0.5,21.4,21.1,98.6,80.7,81.1,0.0,0.0,59.3,0.0,0.6,23.3,8.5,17.4,11048.880627811825,0.646108802175916,1.1459401118176225
2021-01-11,MINE_01,1,1,Monday,2680.0,2438.0,18,16,14,4,4,3,88.9,100.0,93.1,72.0,13.8,0.1,2,0,1.7,4.12,9.6,7.2,2.5,1.2,20.5,44,0.1,0.1,21.1,18.3,86.7,88.3,85.5,1.9,0.0,92.8,0.0,0.3,20.9,8.7,11.5,10233.179355369975,0.5948448621764222,1.210050450836981
2021-01-12,MINE_01,1,1,Tuesday,2595.0,3050.0,18,18,16,4,4,4,100.0,100.0,79.6,91.5,0.3,0.2,0,0,0.2,3.84,8.6,6.2,5.3,2.0,22.1,56,0.0,0.0,23.7,22.2,93.7,80.9,88.0,0.0,1.4,79.7,0.0,1.0,19.8,9.7,8.3,9824.523876936453,0.7375143683548595,1.4304910508465847
2021-01-13,MINE_01,1,1,Wednesday,2666.0,2132.0,18,16,15,4,4,3,88.9,100.0,82.6,89.0,12.5,0.3,1,0,1.5,4.04,11.3,5.6,5.3,2.2,24.5,39,0.2,0.3,21.6,19.6,90.7,81.3,77.7,0.0,1.1,49.1,0.0,0.4,25.1,7.8,7.5,11632.224299727615,0.6358179204202963,1.0437960192020665
2021-01-16,MINE_01,1,1,Saturday,2623.0,2955.0,18,18,16,4,4,3,100.0,100.0,100.0,89.8,0.5,0.5,0,0,0.4,3.97,7.6,6.6,4.9,1.5,22.3,56,1.7,0.2,23.3,23.0,98.8,77.4,93.7,0.0,0.0,64.3,0.0,0.1,20.4,4.8,9.1,9645.193299515016,0.6807050376223766,1.651678812103112
2021-01-17,MINE_01,1,1,Sunday,2566.0,2220.0,18,18,17,4,4,3,100.0,100.0,91.9,88.5,0.5,0.1,0,0,0.3,4.04,9.2,6.7,4.4,1.5,26.7,42,4.9,0.2,20.2,20.0,99.0,82.2,83.6,0.0,0.0,70.1,0.0,0.4,21.6,7.5,9.8,13920.169625826136,0.8061344808084029,1.3068429078508381
