sample_id,name,latitude,longitude,coordinate_precision,district,state,locality_type,label_status,geological_group,formation,host_rock,ore_type,structural_notes,geological_age,metamorphic_grade,distance_to_nearest_known_mn_km,fault_lineament_distance_km,lineament_density_per_sqkm,structural_intersection_flag,elevation_m,slope_deg,aspect_deg,curvature,drainage_density,s2_B2,s2_B3,s2_B4,s2_B5,s2_B6,s2_B7,s2_B8,s2_B8A,s2_B11,s2_B12,ndvi,ndmi,bsi,iron_oxide_index,s1_VV,s1_VH,notes,data_source,source_url
1,Balaghat Mine (MOIL),21.8333,80.2333,mine_area (official subsidence report: 21°50'N 80°14'E),Balaghat,Madhya Pradesh,MOIL_active_underground_mine,confirmed_manganese_associated,Sausar Group,Munsar (Mansar) Formation,Mica schist with Mn ore horizon,Stratiform Mn oxide ore,"Ore body strike length 2.8 km, general strike NE-SW, dip 25-85 deg NW","Proterozoic (Sausar Group, Central Indian Tectonic Zone)",Greenschist to amphibolite facies (regional Sausar metamorphism),,,,,,,,,,,,,,,,,,,,,,,,,,Largest and deepest Mn mine in Asia; mining started 1903; lease area 183.09 ha,Balaghat Mine Subsidence Report (forestsclearance.nic.in); MOIL corporate info,https://forestsclearance.nic.in/writereaddata/FormA/Miningletter/111712131216T21YOSubsidencereportBalaghatmine.pdf
2,"Bharveli (Bharweli) Mine, Awalajhari (MOIL)",21.84,80.2311,town/village-level approx (Bharveli census town; mine ~2 km from Balaghat town),Balaghat,Madhya Pradesh,MOIL_active_underground_mine,confirmed_manganese_associated,Sausar Group,Mansar Formation,Metamorphosed manganiferous schist / gondite,Metamorphosed stratiform Mn ore,,Proterozoic (Sausar Group),Amphibolite facies (per Roy 1962 mineragraphic study),,,,,,,,,,,,,,,,,,,,,,,,,,"Mining lease at Bharveli, Awalajhari village, Balaghat tehsil; ML granted 2015, 50-year term","Roy, S. (1962) Economic Geology 57(2):195-208; mindat.org loc-359215; EIA/mining-plan doc (environmentclearance.nic.in)",https://www.mindat.org/loc-359215.html
3,Ukwa Mine (MOIL),21.97,80.47,town-level approx (Ukwa census town),Balaghat,Madhya Pradesh,MOIL_active_mine,confirmed_manganese_associated,Sausar Group,Mansar Formation (Sausar Group manganese belt),Gondite / Mn-oxide ore,Stratiform Mn ore,,Proterozoic (Sausar Group),,,,,,,,,,,,,,,,,,,,,,,,,,,One of MOIL's operating mines in Balaghat district,Wikipedia (Ukwa; MOIL); MOIL corporate mine list,https://en.wikipedia.org/wiki/MOIL
4,"Tirodi Mine (MOIL, opencast)",21.684,79.727,town-level approx (Tirodi census town / tehsil HQ),Balaghat,Madhya Pradesh,MOIL_active_opencast_mine,confirmed_manganese_associated,Sausar Group,Mansar Formation,Tirodi biotite gneiss country rock with interbanded Mn ore/gondite,Stratiform Mn ore,,Proterozoic (Sausar Group),,,,,,,,,,,,,,,,,,,,,,,,,,,Tirodi tehsil borders Maharashtra; one of MOIL's 3 opencast mines,"Wikipedia (Tirodi, Tirodi tehsil); Structural-Stratigraphic Relations in Precambrian Rocks of Sausar Belt (ResearchGate)",https://en.wikipedia.org/wiki/Tirodi
5,"Kandri Mine (MOIL, underground)",,,district/tehsil only - reliable point coordinate not found (conflicting village records),Nagpur,Maharashtra,MOIL_active_underground_mine,confirmed_manganese_associated,Sausar Group,Mansar Formation,Gondite co-folded with Tirodi migmatitic gneiss; argillaceous/calcareous rock types,"Metamorphosed stratiform Mn ore (braunite, bixbyite, hausmannite, hollandite, jacobsite, vredenburgite, pyrolusite, cryptomelane, psilomelane)",Second-generation (F2) synformal folding documented near Kandri Mines,Proterozoic (Sausar Group),Greenschist to amphibolite facies,,,,,,,,,,,,,,,,,,,,,,,,,,"Located near Ramtek/Parseoni area, Nagpur district; approximate area only, verify exact mine-lease coordinate before use","Mineragraphic Study of Mn Ore Deposits of Kandri, Mansar, Beldongri and Satak Mines (scirp.org); Structure of Mn-bearing Metasedimentary Rocks around Kandri Mines paper",https://file.scirp.org/Html/5-2800758_47118.htm
6,"Mansar (Munsar) Mine (MOIL, underground)",21.4,79.25,"town-level approx (Mansar census town, Ramtek tehsil)",Nagpur,Maharashtra,MOIL_active_underground_mine,confirmed_manganese_associated,Sausar Group,Mansar Formation,"Gondite, schistose metasediments",Metamorphosed stratiform Mn ore,,Proterozoic (Sausar Group),Greenschist to amphibolite facies,,,,,,,,,,,,,,,,,,,,,,,,,,,"mindat.org loc-420990; Wikipedia (Mansar, India)",https://www.mindat.org/loc-420990.html
7,"Beldongri Mine (MOIL, underground)",,,district only - point coordinate not found this session,Nagpur,Maharashtra,MOIL_active_underground_mine,confirmed_manganese_associated,Sausar Group,Mansar Formation,Gondite / manganiferous schist,Metamorphosed stratiform Mn ore,,Proterozoic (Sausar Group),Greenschist to amphibolite facies,,,,,,,,,,,,,,,,,,,,,,,,,,"Studied together with Kandri, Mansar, Satak mines","Mineragraphic Study of Mn Ore Deposits of Kandri, Mansar, Beldongri and Satak Mines (scirp.org)",https://file.scirp.org/Html/5-2800758_47118.htm
8,"Gumgaon-Ramdongri Mine (MOIL, underground)",,,district only - point coordinate not found this session,Nagpur,Maharashtra,MOIL_active_underground_mine,confirmed_manganese_associated,Sausar Group,Mansar Formation,Gondite,Metamorphosed stratiform Mn ore,,Proterozoic (Sausar Group),,,,,,,,,,,,,,,,,,,,,,,,,,,,"Roy, S. (1961) Proc. Natl. Inst. Sci. India 27A:108-114",
9,"Chikla Mine (MOIL, underground)",,,district only - point coordinate not found this session,Bhandara,Maharashtra,MOIL_active_underground_mine,confirmed_manganese_associated,Sausar Group,Mansar Formation,Gondite,Metamorphosed stratiform Mn ore,,Proterozoic (Sausar Group),,,,,,,,,,,,,,,,,,,,,,,,,,,Chikla-Sitasongi area,"Roy, S. & Mitra, F.N. (1962) Genesis of the Mn Orebodies of Chikla-Sitasaongi Area, Bhandara District",
10,"Sitapatore (Sitasaongi) Mine (MOIL, opencast)",,,district only - point coordinate not found this session,Bhandara,Maharashtra,MOIL_active_opencast_mine,confirmed_manganese_associated,Sausar Group,Mansar Formation,Gondite,Metamorphosed stratiform Mn ore,,Proterozoic (Sausar Group),,,,,,,,,,,,,,,,,,,,,,,,,,,One of MOIL's 3 opencast mines,"Roy, S. & Mitra, F.N. (1962); Wikipedia (MOIL)",https://en.wikipedia.org/wiki/MOIL
