latitude,longitude,geological_group,geological_formation,stratigraphic_unit,lithology,metamorphic_grade,weathering_class,fold_position,structural_orientation
21.54186,79.75492,Tirodi Gneissic Complex,Tirodi Gneiss,Tirodi Gneiss (undifferentiated),"Biotite gneiss (potassic, migmatitic)",high (upper amphibolite),highly weathered / lateritic,not_applicable,ENE-WSW
21.93102,80.46576,Sausar Group,Lohangi Formation,Lohangi Formation (undifferentiated),"Marble, calc-silicate rock, granulite/gneiss",medium (lower amphibolite),moderately weathered,limb,NNE-SSW
21.54193,79.76159,Sausar Group,Junewani Formation,Junewani Formation (undifferentiated),Biotite-muscovite schist/gneiss and biotite granulite,high (upper amphibolite),moderately weathered,not_applicable,NW-SE
21.80843,80.03988,Sausar Group,Lohangi Formation,Lohangi Formation (undifferentiated),"Marble, calc-silicate rock, granulite/gneiss",medium (lower amphibolite),fresh / slightly weathered,not_applicable,NW-SE
21.7868,80.16424,Sausar Group,Chorbaoli Formation,Chorbaoli Formation (undifferentiated),Quartz-mica schist and quartzite,medium (lower amphibolite),moderately weathered,not_applicable,NNE-SSW
21.51956,79.70042,Sausar Group,Chorbaoli Formation,Chorbaoli Formation (undifferentiated),Quartz-mica schist and quartzite,medium (lower amphibolite),highly weathered / lateritic,limb,ENE-WSW
21.5493,79.73475,Sausar Group,Bichua Formation,Bichua Formation (undifferentiated),Marble and calc-silicate rock,granulite facies,moderately weathered,not_applicable,NW-SE
21.57451,79.77634,Sausar Group,Junewani Formation,Junewani Formation (undifferentiated),Biotite-muscovite schist/gneiss and biotite granulite,medium (lower amphibolite),highly weathered / lateritic,limb,NNE-SSW
21.83066,80.22871,Sausar Group,Chorbaoli Formation,Chorbaoli Formation (undifferentiated),Quartz-mica schist and quartzite,granulite facies,moderately weathered,not_applicable,E-W
21.92172,80.40429,Sausar Group,Mansar Formation,Mansar Fm - Manganese Horizon II (middle),Phyllite and muscovite schist/gneiss with manganese-oxide/gondite horizon,low (greenschist),moderately weathered,limb,ENE-WSW
21.68465,79.61402,Sausar Group,Lohangi Formation,Lohangi Formation (undifferentiated),"Marble, calc-silicate rock, granulite/gneiss",medium (lower amphibolite),moderately weathered,not_applicable,ENE-WSW
