sample_id,name,latitude,longitude,coordinate_system,coordinate_precision,district,state,locality_type,label_status,geological_group,formation,host_rock,ore_type,structural_notes,geological_age,metamorphic_grade,distance_to_nearest_known_mn_km,fault_lineament_distance_km,lineament_density_per_sqkm,structural_intersection_flag,elevation_m,slope_deg,aspect_deg,curvature,drainage_density,s2_B2,s2_B3,s2_B4,s2_B5,s2_B6,s2_B7,s2_B8,s2_B8A,s2_B11,s2_B12,ndvi,ndmi,bsi,iron_oxide_index,s1_VV,s1_VH,satellite_terrain_data_status,satellite_terrain_data_status_reason,notes,data_source,source_url
1,Balaghat Mine (MOIL),21.8333,80.2333,"WGS84 (EPSG:4326), decimal degrees",mine_area (official subsidence report: 21°50'N 80°14'E),Balaghat,Madhya Pradesh,MOIL_active_underground_mine,confirmed_manganese_associated,Sausar Group,Munsar (Mansar) Formation,Mica schist with Mn ore horizon,Stratiform Mn oxide ore,"Ore body strike length 2.8 km, strike NE-SW, dip 25-85 deg NW","Proterozoic (Sausar Group, CITZ)",Greenschist to amphibolite facies,,,,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE_this_session,No authenticated access to Google Earth Engine / Copernicus Data Space / GSI Bhukosh-NGDR from this sandboxed environment. Tested Open-Elevation API (500 server error - service down) and Open-Meteo API (blocked by robots.txt) as fallback no-auth sources on this date; neither returned data. Value intentionally left blank rather than estimated.,Largest/deepest Mn mine in Asia; started 1903; lease 183.09 ha,Balaghat Mine Subsidence Report (forestsclearance.nic.in); MOIL,https://forestsclearance.nic.in/writereaddata/FormA/Miningletter/111712131216T21YOSubsidencereportBalaghatmine.pdf
2,"Bharveli (Bharweli) Mine, Awalajhari (MOIL)",21.84,80.2311,"WGS84 (EPSG:4326), decimal degrees",town/village-level approx (mine ~2 km from Balaghat town),Balaghat,Madhya Pradesh,MOIL_active_underground_mine,confirmed_manganese_associated,Sausar Group,Mansar Formation,Metamorphosed manganiferous schist / gondite,Metamorphosed stratiform Mn ore,,Proterozoic (Sausar Group),Amphibolite facies (Roy 1962),,,,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE_this_session,No authenticated access to Google Earth Engine / Copernicus Data Space / GSI Bhukosh-NGDR from this sandboxed environment. Tested Open-Elevation API (500 server error - service down) and Open-Meteo API (blocked by robots.txt) as fallback no-auth sources on this date; neither returned data. Value intentionally left blank rather than estimated.,"ML granted 2015, 50-year term, Awalajhari village, Balaghat tehsil",Roy 1962 Econ Geol 57(2):195-208; mindat.org loc-359215; environmentclearance.nic.in EIA doc,https://www.mindat.org/loc-359215.html
3,Ukwa Mine (MOIL),21.97,80.47,"WGS84 (EPSG:4326), decimal degrees",town-level approx (Ukwa census town),Balaghat,Madhya Pradesh,MOIL_active_mine,confirmed_manganese_associated,Sausar Group,Mansar Formation,Gondite / Mn-oxide ore,Stratiform Mn ore,,Proterozoic (Sausar Group),,,,,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE_this_session,No authenticated access to Google Earth Engine / Copernicus Data Space / GSI Bhukosh-NGDR from this sandboxed environment. Tested Open-Elevation API (500 server error - service down) and Open-Meteo API (blocked by robots.txt) as fallback no-auth sources on this date; neither returned data. Value intentionally left blank rather than estimated.,"MOIL operating mine, Balaghat district",Wikipedia (Ukwa; MOIL); MOIL mine list,https://en.wikipedia.org/wiki/MOIL
4,"Tirodi Mine (MOIL, opencast)",21.684,79.727,"WGS84 (EPSG:4326), decimal degrees",town-level approx (Tirodi census town/tehsil HQ),Balaghat,Madhya Pradesh,MOIL_active_opencast_mine,confirmed_manganese_associated,Sausar Group,Mansar Formation,Tirodi biotite gneiss country rock with interbanded Mn ore/gondite,Stratiform Mn ore,,Proterozoic (Sausar Group),,,,,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE_this_session,No authenticated access to Google Earth Engine / Copernicus Data Space / GSI Bhukosh-NGDR from this sandboxed environment. Tested Open-Elevation API (500 server error - service down) and Open-Meteo API (blocked by robots.txt) as fallback no-auth sources on this date; neither returned data. Value intentionally left blank rather than estimated.,One of MOIL's 3 opencast mines,"Wikipedia (Tirodi, Tirodi tehsil); Structural-Stratigraphic Relations paper (ResearchGate)",https://en.wikipedia.org/wiki/Tirodi
5,"Kandri Mine (MOIL, underground)",,,"WGS84 (EPSG:4326), decimal degrees",district/tehsil only - reliable point coordinate not found (conflicting village records),Nagpur,Maharashtra,MOIL_active_underground_mine,confirmed_manganese_associated,Sausar Group,Mansar Formation,Gondite co-folded with Tirodi migmatitic gneiss,"Metamorphosed stratiform Mn ore (braunite, bixbyite, hausmannite, hollandite, jacobsite, vredenburgite, pyrolusite, cryptomelane, psilomelane)",F2 synformal folding documented near Kandri Mines,Proterozoic (Sausar Group),Greenschist to amphibolite facies,,,,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE_this_session,No authenticated access to Google Earth Engine / Copernicus Data Space / GSI Bhukosh-NGDR from this sandboxed environment. Tested Open-Elevation API (500 server error - service down) and Open-Meteo API (blocked by robots.txt) as fallback no-auth sources on this date; neither returned data. Value intentionally left blank rather than estimated.,"Near Ramtek/Parseoni area, Nagpur district - verify exact lease coordinate before use",Mineragraphic Study of Kandri/Mansar/Beldongri/Satak Mines (scirp.org),https://file.scirp.org/Html/5-2800758_47118.htm
6,"Mansar (Munsar) Mine (MOIL, underground)",21.4,79.25,"WGS84 (EPSG:4326), decimal degrees","town-level approx (Mansar census town, Ramtek tehsil)",Nagpur,Maharashtra,MOIL_active_underground_mine,confirmed_manganese_associated,Sausar Group,Mansar Formation,"Gondite, schistose metasediments",Metamorphosed stratiform Mn ore,,Proterozoic (Sausar Group),Greenschist to amphibolite facies,,,,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE_this_session,No authenticated access to Google Earth Engine / Copernicus Data Space / GSI Bhukosh-NGDR from this sandboxed environment. Tested Open-Elevation API (500 server error - service down) and Open-Meteo API (blocked by robots.txt) as fallback no-auth sources on this date; neither returned data. Value intentionally left blank rather than estimated.,,"mindat.org loc-420990; Wikipedia (Mansar, India)",https://www.mindat.org/loc-420990.html
7,"Beldongri Mine (MOIL, underground)",,,"WGS84 (EPSG:4326), decimal degrees",district only - point coordinate not found,Nagpur,Maharashtra,MOIL_active_underground_mine,confirmed_manganese_associated,Sausar Group,Mansar Formation,Gondite / manganiferous schist,Metamorphosed stratiform Mn ore,,Proterozoic (Sausar Group),Greenschist to amphibolite facies,,,,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE_this_session,No authenticated access to Google Earth Engine / Copernicus Data Space / GSI Bhukosh-NGDR from this sandboxed environment. Tested Open-Elevation API (500 server error - service down) and Open-Meteo API (blocked by robots.txt) as fallback no-auth sources on this date; neither returned data. Value intentionally left blank rather than estimated.,Studied with Kandri/Mansar/Satak mines,Mineragraphic Study of Kandri/Mansar/Beldongri/Satak Mines (scirp.org),https://file.scirp.org/Html/5-2800758_47118.htm
8,"Gumgaon-Ramdongri Mine (MOIL, underground)",,,"WGS84 (EPSG:4326), decimal degrees",district only - point coordinate not found,Nagpur,Maharashtra,MOIL_active_underground_mine,confirmed_manganese_associated,Sausar Group,Mansar Formation,Gondite,Metamorphosed stratiform Mn ore,,Proterozoic (Sausar Group),,,,,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE_this_session,No authenticated access to Google Earth Engine / Copernicus Data Space / GSI Bhukosh-NGDR from this sandboxed environment. Tested Open-Elevation API (500 server error - service down) and Open-Meteo API (blocked by robots.txt) as fallback no-auth sources on this date; neither returned data. Value intentionally left blank rather than estimated.,,Roy 1961 Proc. Natl. Inst. Sci. India 27A:108-114,
9,"Chikla Mine (MOIL, underground)",,,"WGS84 (EPSG:4326), decimal degrees",district only - point coordinate not found,Bhandara,Maharashtra,MOIL_active_underground_mine,confirmed_manganese_associated,Sausar Group,Mansar Formation,Gondite,Metamorphosed stratiform Mn ore,,Proterozoic (Sausar Group),,,,,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE_this_session,No authenticated access to Google Earth Engine / Copernicus Data Space / GSI Bhukosh-NGDR from this sandboxed environment. Tested Open-Elevation API (500 server error - service down) and Open-Meteo API (blocked by robots.txt) as fallback no-auth sources on this date; neither returned data. Value intentionally left blank rather than estimated.,Chikla-Sitasongi area,"Roy & Mitra 1962, Genesis of Mn Orebodies of Chikla-Sitasaongi Area",
10,"Sitapatore (Sitasaongi) Mine (MOIL, opencast)",,,"WGS84 (EPSG:4326), decimal degrees",district only - point coordinate not found,Bhandara,Maharashtra,MOIL_active_opencast_mine,confirmed_manganese_associated,Sausar Group,Mansar Formation,Gondite,Metamorphosed stratiform Mn ore,,Proterozoic (Sausar Group),,,,,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE_this_session,No authenticated access to Google Earth Engine / Copernicus Data Space / GSI Bhukosh-NGDR from this sandboxed environment. Tested Open-Elevation API (500 server error - service down) and Open-Meteo API (blocked by robots.txt) as fallback no-auth sources on this date; neither returned data. Value intentionally left blank rather than estimated.,One of MOIL's 3 opencast mines,Roy & Mitra 1962; Wikipedia (MOIL),https://en.wikipedia.org/wiki/MOIL
