feature,importance_mean,importance_std
geological_group,0.17776850904274988,0.017622440454845425
gossan_alteration_index,0.08694146077175116,0.002819936416903495
stratigraphic_unit,0.010958626086806889,0.0022639401720032184
BSI,0.006978268160748513,0.0020233262364204364
radar_texture,0.0038869634764062467,0.0015157827826004187
valley_or_ridge_class,0.00383398835579325,0.0010259632429414274
fold_position,0.0036322357048871766,0.0014876489940001862
topographic_position_index,0.0032581419148441926,0.0005348698063824806
B4_B2_ratio,0.0031446237992448943,0.0010392927441823527
structural_orientation,0.0027197908514717817,0.0008096449498237789
slope_deg,0.0023536089300917108,0.0006795216041611099
B6,0.0011725045364246122,0.000562387162996565
NDMI,0.0009286125850310745,0.0004005216380022534
B7,0.0007438876514648917,0.0008155391126625876
curvature,0.0006929764965901031,0.00035291089891227454
terrain_ruggedness,0.0005010276829404692,0.0008752504613360813
B11_B8_ratio,0.00048606393133863166,0.0004339847555204977
B2,0.0004774640740963232,0.0008664323351326281
B3,0.0003847576130235453,0.00044660561497894915
metamorphic_grade,0.00021344845675559388,0.00015803290106527427
elevation_m,0.00019504476225691293,0.0010932205907175244
lithology,0.0001360497415742623,0.00018811204359735575
VV_VH_ratio,0.00012916985578035334,0.00045281115726069775
B5,9.545841539024825e-05,0.00033664327638628394
red_edge_ratio_2,9.511442110057277e-05,0.0006844409353355932
MNDWI,5.211513488867503e-05,0.0005863802681033303
weathering_class,1.9779671657382813e-05,0.00011575420626612712
B8A,-2.8207531755009006e-05,0.0003582950298283984
B4,-7.757071232623591e-05,0.0007801323702757067
longitude,-8.892252388617016e-05,0.0007136475555073054
B11,-0.00020416061093389004,0.00020284990632545355
VV,-0.0002583397115608621,0.0006846390802726552
B11_B12_ratio,-0.0002941151176890644,0.0005457732572098291
B8,-0.00040470928182596567,0.00017630890311924944
B12_B8_ratio,-0.00045957637103231084,0.00039510428493677466
B12,-0.0005206353574531475,9.916586336467136e-05
geological_formation,-0.0005527988235396686,0.0002458382573751378
NDVI,-0.0006365614330802183,0.0003668572095285439
red_edge_ratio_1,-0.0007191200626069705,0.0003087190163611866
VH,-0.0007191200626069927,0.0003493673984657382
radar_backscatter_mean,-0.000852761844153438,0.0005508111822886222
local_relief_m,-0.001093901841229461,0.00034462107824806133
latitude,-0.001408140624865717,0.00037869287544014163
