target_rank,target_id,station_id,latitude,longitude,prospectivity_score,raw_prob,geological_formation,lithology,sector,formation,prospectivity_class,is_greenfield,occurrence_status
1,BK-MN-01,BK_00011,22.02745300341664,85.58190648362225,100.0,0.9532236185886808,Banded ferruginous unit,Manganiferous rock,Joda–Barbil / Bonai–Keonjhar,Banded ferruginous unit,VERY HIGH,True,Greenfield Screening Target
2,BK-MN-02,BK_00081,22.112890287053336,85.26143953823131,100.0,0.9594046963994912,Banded ferruginous unit,Ferruginous metasediment,Joda–Barbil / Bonai–Keonjhar,Banded ferruginous unit,VERY HIGH,True,Greenfield Screening Target
3,BK-MN-03,BK_00504,21.94166242712712,85.58355795934496,100.0,0.9577102421345632,Shale-Quartzite sequence,Manganiferous rock,Joda–Barbil / Bonai–Keonjhar,Shale-Quartzite sequence,VERY HIGH,True,Greenfield Screening Target
4,BK-MN-04,BK_00805,21.865220699962972,85.34320369419326,100.0,0.9560003873285,Banded ferruginous unit,Manganiferous rock,Joda–Barbil / Bonai–Keonjhar,Banded ferruginous unit,VERY HIGH,True,Greenfield Screening Target
5,BK-MN-05,BK_04441,22.001575942426964,85.6180521993527,100.0,0.9538122583675578,Shale-Quartzite sequence,Manganiferous rock,Joda–Barbil / Bonai–Keonjhar,Shale-Quartzite sequence,VERY HIGH,True,Greenfield Screening Target
6,BK-MN-06,BK_06080,21.96274406155816,85.6168669052572,100.0,0.9548373975937028,BIF-associated sequence,Manganiferous rock,Joda–Barbil / Bonai–Keonjhar,BIF-associated sequence,VERY HIGH,True,Greenfield Screening Target
7,BK-MN-07,BK_06952,21.91554917924186,85.56723588268024,100.0,0.9561167641136652,Shale-Quartzite sequence,Manganiferous rock,Joda–Barbil / Bonai–Keonjhar,Shale-Quartzite sequence,VERY HIGH,True,Greenfield Screening Target
8,BK-MN-08,BK_10755,22.01197616579909,85.48604584789933,100.0,0.952543501680182,Banded ferruginous unit,Manganiferous rock,Joda–Barbil / Bonai–Keonjhar,Banded ferruginous unit,VERY HIGH,True,Greenfield Screening Target
9,BK-MN-09,BK_15264,22.196326400166555,85.62124713003341,100.0,0.9526396020935136,BIF-associated sequence,Manganiferous rock,Joda–Barbil / Bonai–Keonjhar,BIF-associated sequence,VERY HIGH,True,Greenfield Screening Target
10,BK-MN-10,BK_17769,21.91638511059865,85.5148694140941,100.0,0.9562621177030194,BIF-associated sequence,Manganiferous rock,Joda–Barbil / Bonai–Keonjhar,BIF-associated sequence,VERY HIGH,True,Greenfield Screening Target
